Title,Date
"Un lugar para soñar: Temporada 4: Emergencia","03-08-22"
"Un lugar para soñar: Temporada 4: Tan serio como...","02-08-22"
"Un lugar para soñar: Temporada 4: Asado","01-08-22"
"¡Ay, mi madre!","01-08-22"
"Persuasión","01-08-22"
"Lilyhammer: Temporada 1: Bienvenido a la realidad","31-07-22"
"Dos veces tú","31-07-22"
"Fanático: En carne y hueso","31-07-22"
"Fanático: Quimera","31-07-22"
"Pipa","31-07-22"
"El hombre más odiado de internet: Miniserie: Episodio 2","31-07-22"
"El hombre más odiado de internet: Miniserie: Episodio 1","30-07-22"
"One-Punch Man: Temporada 2: Los héroes clase S","30-07-22"
"One-Punch Man: Temporada 2: El levantamiento de los kaijin","30-07-22"
"One-Punch Man: Temporada 2: El torneo de artes marciales","30-07-22"
"Un lugar para soñar: Temporada 4: ¿Un padre siempre tiene razón?","29-07-22"
"Street Food: EE. UU.: Los Ángeles, California","29-07-22"
"Club de Cuervos: Temporada 1: Sé un capitán","29-07-22"
"One-Punch Man: Temporada 2: Metal Bat","29-07-22"
"One-Punch Man: Temporada 2: Comienza la cacería","29-07-22"
"Shania Twain: Not Just a Girl","29-07-22"
"Un lugar para soñar: Temporada 4: Sé mi bebé","28-07-22"
"Pedro el escamoso: Episodio 2","28-07-22"
"Pedro el escamoso: Episodio 1","28-07-22"
"One-Punch Man: Temporada 2: El kaijin humano","28-07-22"
"One-Punch Man: Temporada 2: El regreso del héroe","28-07-22"
"One-Punch Man: Temporada 1: El hombre más fuerte","28-07-22"
"Alba: Capítulo 13","28-07-22"
"Alba: Capítulo 12","28-07-22"
"Alba: Capítulo 11","27-07-22"
"Alba: Capítulo 10","27-07-22"
"Alba: Capítulo 9","26-07-22"
"La boda de Valentina","26-07-22"
"Chicas buenas: Temporada 1: Más dinero, más problemas","26-07-22"
"Chicas buenas: Temporada 1: Piloto","26-07-22"
"Alba: Capítulo 8","25-07-22"
"Cosmética del enemigo","25-07-22"
"Alba: Capítulo 7","25-07-22"
"El Hombre Gris","25-07-22"
"La hija del lobo","25-07-22"
"Stranger Things: Stranger Things 3: Capítulo ocho: La batalla de Starcourt","24-07-22"
"Stranger Things: Stranger Things 3: Capítulo siete: La picadura","24-07-22"
"Clean","24-07-22"
"Stranger Things: Stranger Things 3: Capítulo seis: E pluribus unum","24-07-22"
"Las viudas de los jueves","24-07-22"
"Luna Park: La mariposa","24-07-22"
"Stranger Things: Stranger Things 3: Capítulo cinco: Los desollados","23-07-22"
"Stranger Things: Stranger Things 3: Capítulo cuatro: La prueba del sauna","23-07-22"
"Alba: Capítulo 6","23-07-22"
"Stranger Things: Stranger Things 3: Capítulo tres: El caso de la guardavidas perdida","23-07-22"
"Carmel: ¿Quién mató a María Marta?: Miniserie: Contar una historia","22-07-22"
"Alba: Capítulo 5","21-07-22"
"La mujer de la casa de enfrente de la chica en la ventana: Episodio 3","21-07-22"
"La mujer de la casa de enfrente de la chica en la ventana: Episodio 2","21-07-22"
"La mujer de la casa de enfrente de la chica en la ventana: Episodio 1","21-07-22"
"Lo imposible","21-07-22"
"Rojo","21-07-22"
"Asesinos de la India: El Carnicero de Deli: Miniserie: Regalos","21-07-22"
"Sobrevivir a la muerte: Experiencias cercanas a la muerte","21-07-22"
"La casa: Criatura","21-07-22"
"Alba: Capítulo 4","20-07-22"
"Desenfrenadas: Me quiero ir a la v**","20-07-22"
"Alba: Capítulo 3","20-07-22"
"Alba: Capítulo 2","20-07-22"
"Falsa identidad: La suerte está con Circe","19-07-22"
"El Chema: ¿Chivo expiatorio?","19-07-22"
"Vis a vis: El Oasis: Como esos matrimonios que antes de separarse tienen un hijo","19-07-22"
"D. B. Cooper: ¡Dónde estás?: Miniserie: Alguien inocente no se esconde en un contenedor","19-07-22"
"Alba: What is Alba's crime?","19-07-22"
"Outlander: Temporada 2: Estoy listo","18-07-22"
"Tijuana: El Candidato","18-07-22"
"D. B. Cooper: ¡Dónde estás?: Miniserie: Toma el dinero y salta","18-07-22"
"Eres mía","17-07-22"
"Carmel: ¿Quién mató a María Marta?: Miniserie: Un domingo lluvioso","17-07-22"
"La noche más larga: Episodio 3","17-07-22"
"El Chapo: Temporada 3: Episodio 11","17-07-22"
"El Chapo: Temporada 3: Episodio 7","17-07-22"
"Carmel: ¿Quién mató a María Marta?: Miniserie: El juicio","16-07-22"
"Manifiesto: Temporada 1: Piloto","16-07-22"
"Valeria: Temporada 2: Dejar de huir","16-07-22"
"Valeria: Temporada 1: La impostora","16-07-22"
"Stranger Things: Stranger Things 3: Capítulo dos: Ratas de centro comercial","16-07-22"
"La noche más larga: Episodio 2","16-07-22"
"Stranger Things: Stranger Things 3: Capítulo uno: ¿Me copias, Suzie?","16-07-22"
"La noche más larga: Episodio 1","15-07-22"
"Carmel: ¿Quién mató a María Marta?: Miniserie: Cinco balas y un pituto","15-07-22"
"Pequeña gran vida","15-07-22"
"Outlander: Temporada 2: La guarida del zorro","14-07-22"
"El Chapo: Temporada 3: Episodio 6","14-07-22"
"El Chapo: Temporada 3: Episodio 5","14-07-22"
"El Chapo: Temporada 1: Episodio 1","14-07-22"
"Obsesión secreta","14-07-22"
"Falsa identidad: Isabel deja la farsa","13-07-22"
"Falsa identidad: Circe recibe un golpe duro","13-07-22"
"Relaciones peligrosas","13-07-22"
"Falsa identidad: Joselito manda un mensaje","12-07-22"
"Falsa identidad: La trampa contra Joselito","12-07-22"
"Stranger Things: Stranger Things 2: Capítulo nueve: El portal","11-07-22"
"Stranger Things: Stranger Things 2: Capítulo ocho: El azotamentes","11-07-22"
"Stranger Things: Stranger Things 2: Capítulo siete: La hermana perdida","11-07-22"
"La trinchera infinita","11-07-22"
"No respires","10-07-22"
"Intrusión","10-07-22"
"La niña de la foto","09-07-22"
"Falsa identidad: Circe quiere reclutar a Diego","09-07-22"
"Falsa identidad: Camila le coquetea a Joselito","09-07-22"
"Falsa identidad: Diego rechaza a Circe","09-07-22"
"Stranger Things: Stranger Things 2: Capítulo seis: El espía","09-07-22"
"Falsa identidad: Diego se arma de coraje","09-07-22"
"Falsa identidad: El gran momento de Circe","09-07-22"
"Falsa identidad: Circe arma su propio cártel","09-07-22"
"Falsa identidad: Gavino, al borde de la muerte","09-07-22"
"Falsa identidad: Joselito ordena un secuestro","09-07-22"
"Falsa identidad: Circe llega al Babel","08-07-22"
"Enemigos públicos","08-07-22"
"¿Sabes quién es?: Episodio 4","08-07-22"
"Peaky Blinders: Temporada 1: Episodio 3","08-07-22"
"Me llaman Radio","08-07-22"
"Tierra de nadie: Sicario","08-07-22"
"Stranger Things: Stranger Things 2: Capítulo cinco: Dig Dug","08-07-22"
"Stranger Things: Stranger Things 2: Capítulo cuatro: Will, el Sabio","08-07-22"
"Stranger Things: Stranger Things 2: Capítulo tres: El renacuajo","08-07-22"
"El sentido de la vida","08-07-22"
"Falsa identidad: Fernanda queda en la calle","08-07-22"
"Falsa identidad: Isabel y Diego formalizan","08-07-22"
"Falsa identidad: Atacan el velorio de Eliseo","08-07-22"
"Falsa identidad: Diego sufre por su hermano","08-07-22"
"Falsa identidad: Circe mata al hermano de Diego","08-07-22"
"Falsa identidad: Circe deja todo por Diego","08-07-22"
"Falsa identidad: El rescate de Amanda","08-07-22"
"Falsa identidad: Isabel tiene un secreto","08-07-22"
"Falsa identidad: Circe tiene sexo con Joselito","08-07-22"
"Falsa identidad: Corona, más cerca de la muerte","08-07-22"
"Asesino: Misión venganza","07-07-22"
"Falsa identidad: Isabel y Diego hacen el amor","07-07-22"
"Falsa identidad: Eliseo sospecha de Augusto","07-07-22"
"Falsa identidad: Isabel y Diego se besan","07-07-22"
"Falsa identidad: Diego se expone en televisión","06-07-22"
"Falsa identidad: Circe pide la cabeza de Eliseo","06-07-22"
"Falsa identidad: Isabel hace todo por su hija","06-07-22"
"Outlander: Temporada 2: Fe","06-07-22"
"Falsa identidad: Gavino amenaza a Circe","05-07-22"
"Outlander: Temporada 2: Los planes mejor pensados","05-07-22"
"Falsa identidad: Circe traiciona a su padre","05-07-22"
"Falsa identidad: Isabel y Diego huyen a EE. UU.","05-07-22"
"Falsa identidad: El desafío de Isabel y Diego","04-07-22"
"Marea alta","04-07-22"
"El bar","04-07-22"
"Okupas: Los cincos mandamientos","04-07-22"
"Maldad oculta","04-07-22"
"Rencor","04-07-22"
"Outlander: Temporada 2: Resurrecciones inoportunas","03-07-22"
"Outlander: Temporada 2: La dama blanca","03-07-22"
"No te puedes esconder: La fuga","02-07-22"
"Last Knights","02-07-22"
"Sueños de fuga","02-07-22"
"Un día para sobrevivir","02-07-22"
"Outlander: Temporada 2: Actividades útiles y engaños","02-07-22"
"Outlander: Temporada 2: No más Escocia","30-06-22"
"Hogar","29-06-22"
"Outlander: Temporada 1: Para el rescate del alma de un hombre","29-06-22"
"Outlander: Temporada 1: Prisión Wentworth","28-06-22"
"Outlander: Temporada 1: La búsqueda","28-06-22"
"Outlander: Temporada 1: La guardia","28-06-22"
"XXY","28-06-22"
"Outlander: Temporada 1: Lallybroch","28-06-22"
"Quien a hierro mata","27-06-22"
"Intimidad: Una decisión","27-06-22"
"Intimidad: Mañana","27-06-22"
"Intimidad: Sola","27-06-22"
"Stranger Things: Stranger Things 2: Capítulo dos: Dulce o truco, bicho raro","26-06-22"
"Stranger Things: Stranger Things 2: Capítulo uno: MADMAX","26-06-22"
"Intimidad: En funciones","26-06-22"
"Stranger Things: Capítulo ocho: El otro lado","26-06-22"
"Stranger Things: Capítulo siete: La bañera","26-06-22"
"Stranger Things: Capítulo seis: El monstruo","26-06-22"
"Stranger Things: Capítulo cinco: La pulga y el acróbata","26-06-22"
"Intimidad: La caída","26-06-22"
"Intimidad: Prosopagnosia","26-06-22"
"Intimidad: Posición / Exposición","26-06-22"
"Intimidad: Medio mortal","26-06-22"
"Refugiado","26-06-22"
"El abogado del Lincoln: Temporada 1: Volver al ruedo","26-06-22"
"Sebastián Marcelo Wainraich","25-06-22"
"El Hombre de Toronto","25-06-22"
"Outlander: Temporada 1: La marca del diablo","25-06-22"
"Amor de madre","25-06-22"
"Outlander: Temporada 1: Por el temblor de mis pulgares","25-06-22"
"Outlander: Temporada 1: La hora de la verdad","24-06-22"
"La cabeza de la araña","24-06-22"
"Outlander: Temporada 1: Ambos lados ahora","24-06-22"
"Impacto profundo","24-06-22"
"Corre","24-06-22"
"Selva trágica","24-06-22"
"En busca de la felicidad","23-06-22"
"Outlander: Temporada 1: La boda","23-06-22"
"Outlander: Temporada 1: El comandante Garrison","22-06-22"
"Donde caben dos","22-06-22"
"El silencio de la ciudad blanca","22-06-22"
"Outlander: Temporada 1: Renta","22-06-22"
"El tirador: Temporada 1: Ventaja balística","22-06-22"
"Madres paralelas","22-06-22"
"El tirador: Temporada 1: Rojo sobre rojo","22-06-22"
"El tirador: Temporada 1: Zona de peligro","22-06-22"
"Stranger Things: Capítulo cuatro: El cuerpo","21-06-22"
"Stranger Things: Capítulo tres: Todo está bien","21-06-22"
"The Blacklist: Temporada 1: Piloto","21-06-22"
"Stranger Things: Capítulo dos: La loca de la calle Maple","21-06-22"
"Stranger Things: Capítulo uno: La desaparición de Will Byers","21-06-22"
"El Chema: Mensajera y espía","21-06-22"
"El Chema: Misión cumplida","21-06-22"
"El Chema: Narcos en guerra","21-06-22"
"El Chema: De hombre a hombre","21-06-22"
"El Chema: Amor por conveniencia","21-06-22"
"El Chema: Tráfico de armas","21-06-22"
"El Chema: Tientan al diablo","21-06-22"
"El Chema: La verdad duele","21-06-22"
"El Chema: Ascenso marca prioridades","21-06-22"
"El Chema: Preocupación de madre","21-06-22"
"El Chema: Amor prohibido","21-06-22"
"El Chema: Buscan al asesino","21-06-22"
"El Chema: Convertido en asesino","21-06-22"
"El Chema: Joven matón","21-06-22"
"El Chema: Infancia turbulenta","21-06-22"
"El Chema: Poder afrodisíaco","21-06-22"
"El Chema: Narco en la TV","21-06-22"
"Outlander: Temporada 1: El encuentro","20-06-22"
"Garra","19-06-22"
"Outlander: Temporada 1: La salida","19-06-22"
"Nuestros Amantes","19-06-22"
"La ira de Dios","19-06-22"
"Outlander: Temporada 1: Castillo Leoch","19-06-22"
"El tirador: Temporada 1: Zona de impacto","18-06-22"
"El tirador: Temporada 1: Fuego especulativo","18-06-22"
"El tirador: Temporada 1: Cobertura","18-06-22"
"Better Call Saul: Temporada 5: El indicado","18-06-22"
"Fargo: El príncipe gallo","18-06-22"
"Entre la vida y la muerte","18-06-22"
"Fariña: Capítulo 2: 1982","18-06-22"
"Colisión","18-06-22"
"La misma sangre","18-06-22"
"Fargo: La paradoja del cocodrilo","17-06-22"
"Distrito salvaje: Temporada 1: Coacción","17-06-22"
"Outlander: Temporada 1: Sassenach","16-06-22"
"Enemigo íntimo: Caminos opuestos","15-06-22"
"Bienvenidos a Edén: Temporada 1: El viaje de vuelta","14-06-22"
"Bienvenidos a Edén: Temporada 1: Lilith","14-06-22"
"Bienvenidos a Edén: Temporada 1: Rebelión","13-06-22"
"Bienvenidos a Edén: Temporada 1: Tormenta","13-06-22"
"El Chapo: Temporada 3: Episodio 13","12-06-22"
"El Chapo: Temporada 3: Episodio 12","11-06-22"
"El Chapo: Temporada 3: Episodio 10","11-06-22"
"El Chapo: Temporada 3: Episodio 9","11-06-22"
"El Chapo: Temporada 3: Episodio 8","11-06-22"
"Un lugar en silencio","10-06-22"
"El Chapo: Temporada 3: Episodio 4","09-06-22"
"El Chapo: Temporada 3: Episodio 3","09-06-22"
"El Chapo: Temporada 3: Episodio 2","09-06-22"
"El Chapo: Temporada 3: Episodio 1","09-06-22"
"Bienvenidos a Edén: Temporada 1: La otra orilla","09-06-22"
"Bienvenidos a Edén: Temporada 1: Fiesta de despedida","09-06-22"
"Bienvenidos a Edén: Temporada 1: Evaluación","09-06-22"
"El Chapo: Temporada 2: Episodio 12","08-06-22"
"El Chapo: Temporada 2: Episodio 11","08-06-22"
"Bienvenidos a Edén: Temporada 1: El viaje de tu vida","08-06-22"
"42 días en la oscuridad: Cada vez más a oscuras","08-06-22"
"42 días en la oscuridad: No creo lo que dicen","07-06-22"
"42 días en la oscuridad: Día 42","07-06-22"
"42 días en la oscuridad: La casa del frente","06-06-22"
"42 días en la oscuridad: ¿Qué dirían de ti si desapareces?","06-06-22"
"El Chapo: Temporada 2: Episodio 10","06-06-22"
"El Chapo: Temporada 2: Episodio 9","06-06-22"
"Stranger Things: Stranger Things 4: Capítulo siete: Masacre en el laboratorio Hawkins","05-06-22"
"Stranger Things: Stranger Things 4: Capítulo seis: En lo profundo","05-06-22"
"Somebody Feed Phil: Temporada 1: Bangkok","05-06-22"
"Una madre perfecta: Temporada 1: Episodio 3","05-06-22"
"Una madre perfecta: Temporada 1: Episodio 2","04-06-22"
"Una madre perfecta: Temporada 1: Episodio 1","04-06-22"
"El tirador: Temporada 1: Musa Qala","04-06-22"
"El tirador: Temporada 1: Exfiltración","04-06-22"
"El Chema: Espectacular fuga","04-06-22"
"El tirador: Temporada 1: Punto de impacto","04-06-22"
"El Chema: Extradición dilatada","04-06-22"
"Fariña: Capítulo 1: 1981","04-06-22"
"Rescatando al soldado Ryan","04-06-22"
"Es por tu bien","04-06-22"
"El Chapo: Temporada 2: Episodio 8","04-06-22"
"Así nos ven: Miniserie: Parte 1","03-06-22"
"Comer, rezar, amar","03-06-22"
"¿Quién mató a Sara?: Temporada 1: Seguro de vida","02-06-22"
"Malverde, el santo patrón: Malverde, ladrón de caminos","02-06-22"
"Las mil y una","01-06-22"
"El patrón, radiografía de un crimen","01-06-22"
"Cuando conocí al Chapo: Cara a cara","01-06-22"
"Better Call Saul: Temporada 5: 50 % de descuento","01-06-22"
"Capos de la droga: Temporada 1: Pablo Escobar","01-06-22"
"Todo sobre el asado","31-05-22"
"El Chapo: Temporada 2: Episodio 7","31-05-22"
"El Chapo: Temporada 2: Episodio 6","31-05-22"
"Cuando conocí al Chapo: Destinados a conocerse","30-05-22"
"El Chapo: Temporada 2: Episodio 5","29-05-22"
"Better Call Saul: Temporada 5: Hombre Mágico","29-05-22"
"El Chapo: Temporada 2: Episodio 4","29-05-22"
"El Chapo: Temporada 2: Episodio 3","29-05-22"
"El Chapo: Temporada 2: Episodio 2","29-05-22"
"El Chapo: Temporada 2: Episodio 1","29-05-22"
"El Chapo: Temporada 1: Episodio 9","29-05-22"
"El Chapo: Temporada 1: Episodio 8","28-05-22"
"El Chapo: Temporada 1: Episodio 7","28-05-22"
"El Chapo: Temporada 1: Episodio 6","28-05-22"
"El Chapo: Temporada 1: Episodio 5","28-05-22"
"El Chapo: Temporada 1: Episodio 4","28-05-22"
"El Chapo: Temporada 1: Episodio 3","28-05-22"
"El Chapo: Temporada 1: Episodio 2","28-05-22"
"Que tengas buen viaje","28-05-22"
"Better Call Saul: Temporada 4: Ganador","28-05-22"
"Better Call Saul: Temporada 4: Hasta la vista","28-05-22"
"¿Quién mató a Sara?: Temporada 3: Bienvenidos al Centro Medusa","27-05-22"
"Sherlock Holmes","27-05-22"
"Atracadores: La serie: Temporada 1: Episodio 1","27-05-22"
"Secuestro en Cleveland","26-05-22"
"Ozark: Temporada 4: Irse de la peor manera","26-05-22"
"¿Cuánto vale la vida?","26-05-22"
"Better Call Saul: Temporada 4: Coushatta","26-05-22"
"Better Call Saul: Temporada 4: Algo estúpido","26-05-22"
"Nisman: El fiscal, la presidenta y el espía: Episodio 1","26-05-22"
"Ozark: Temporada 4: Barro","25-05-22"
"Ozark: Temporada 4: El agua se lleva todo","25-05-22"
"Una historia real: Miniserie: Capítulo 1: El rey de la comedia","25-05-22"
"Yara","25-05-22"
"La noche de 12 años","24-05-22"
"El fotógrafo y el cartero: El crimen de Cabezas","24-05-22"
"Ozark: Temporada 4: Seguir en pie","23-05-22"
"Una especie de familia","23-05-22"
"Dry Martina","23-05-22"
"Noche de fuego","23-05-22"
"Luis Miguel - La serie: Temporada 2: Qué nivel de mujer","23-05-22"
"Luis Miguel - La serie: Temporada 1: La chica del bikini azul","23-05-22"
"Ozark: Temporada 4: El jefe","23-05-22"
"Better Call Saul: Temporada 4: Habla","23-05-22"
"Insiders: Temporada 1: Bienvenidos a Insiders","23-05-22"
"Propuesta laboral: Episodio 12","22-05-22"
"Propuesta laboral: Episodio 11","22-05-22"
"¿Quién mató a Sara?: Temporada 3: Viva o muerta","22-05-22"
"¿Quién mató a Sara?: Temporada 3: Complejo de Medusa","22-05-22"
"¿Quién mató a Sara?: Temporada 3: Presunción de muerte","22-05-22"
"Entrevías: Temporada 1: El último tren","22-05-22"
"Entrevías: Temporada 1: Los Robin Hood","22-05-22"
"Entrevías: Temporada 1: Quien roba a un ladrón","22-05-22"
"Entrevías: Temporada 1: Perro viejo no perrea","22-05-22"
"El año de mi graduación","21-05-22"
"Entrevías: Temporada 1: Lo que se esconde bajo la alfombra","21-05-22"
"Entrevías: Temporada 1: Morder","21-05-22"
"Entrevías: Temporada 1: Radios estropeadas","21-05-22"
"Love, Death & Robots: Volumen 2: La visita","21-05-22"
"Love, Death & Robots: Volumen 2: La hierba alta","21-05-22"
"Entrevías: Temporada 1: Un cabronazo de la vieja escuela","21-05-22"
"Better Call Saul: Temporada 4: Algo hermoso","20-05-22"
"El misterio de Marilyn Monroe: Las cintas inéditas","19-05-22"
"365 días: Aquel día","19-05-22"
"Ozark: Temporada 4: Elige a quién rezarle","19-05-22"
"Love, Death & Robots: Volumen 2: Un albino en el desierto","19-05-22"
"Love, Death & Robots: Volumen 2: Servicio al cliente automatizado","19-05-22"
"Ozark: Temporada 4: Lo que te quita el sueño","18-05-22"
"Ozark: Temporada 4: Sanctified","18-05-22"
"Better Call Saul: Temporada 4: Respira","18-05-22"
"Ozark: Temporada 4: Sangre sobre todo","18-05-22"
"Better Call Saul: Temporada 4: Humo","18-05-22"
"Ozark: Temporada 4: Explicación probable","17-05-22"
"Better Call Saul: Temporada 3: Farol","17-05-22"
"Better Call Saul: Temporada 3: Caída","17-05-22"
"La enfermedad del domingo","17-05-22"
"Ozark: Temporada 4: La suerte en los dados","17-05-22"
"Better Call Saul: Temporada 3: Resbalón","16-05-22"
"La familia perfecta","16-05-22"
"Better Call Saul: Temporada 3: Gastos","15-05-22"
"Better Call Saul: Temporada 3: Segunda marca","14-05-22"
"Amores perros","14-05-22"
"Better Call Saul: Temporada 3: Artimaña","14-05-22"
"Better Call Saul: Temporada 3: Sabrosito","14-05-22"
"Frente a frente","14-05-22"
"Better Call Saul: Temporada 3: Costo irrecuperable","13-05-22"
"Better Call Saul: Temporada 3: Testigo","13-05-22"
"Better Call Saul: Temporada 3: Mabel","12-05-22"
"Better Call Saul: Temporada 2: Larga distancia","12-05-22"
"Better Call Saul: Temporada 2: No hay tiempo","12-05-22"
"Better Call Saul: Temporada 2: Fifi","12-05-22"
"Better Call Saul: Temporada 2: Inflable","11-05-22"
"Better Call Saul: Temporada 2: Esa famosa canción","11-05-22"
"Better Call Saul: Temporada 2: Rebecca","10-05-22"
"Better Call Saul: Temporada 2: Guantes fuera","10-05-22"
"Better Call Saul: Temporada 2: Amarillo","10-05-22"
"Better Call Saul: Temporada 2: La tarta de luna llena","10-05-22"
"Better Call Saul: Temporada 2: Gran cambio","10-05-22"
"Better Call Saul: Temporada 1: Marco","10-05-22"
"Better Call Saul: Temporada 1: Pimiento","09-05-22"
"Better Call Saul: Temporada 1: Rico","09-05-22"
"Better Call Saul: Temporada 1: Bingo","09-05-22"
"Bugsy","06-05-22"
"La habitación","04-05-22"
"Ozark: Temporada 4: Una ciudad en ciernes","04-05-22"
"El club","04-05-22"
"Ozark: Temporada 4: Que el vasto mundo siga girando","03-05-22"
"El practicante","03-05-22"
"Ozark: Temporada 3: A tope","02-05-22"
"Eterno resplandor de una mente sin recuerdos","01-05-22"
"Loco por vos","01-05-22"
"El cuaderno de Tomy","01-05-22"
"Desde mi cielo","27-04-22"
"Monzón: Episodio 13","26-04-22"
"Monzón: Episodio 12","26-04-22"
"Monzón: Episodio 11","26-04-22"
"Monzón: Episodio 10","26-04-22"
"Monzón: Episodio 9","26-04-22"
"Monzón: Episodio 8","26-04-22"
"Monzón: Episodio 7","26-04-22"
"Historia de un crimen: La búsqueda: Temporada 1: Fue Harry Potter","26-04-22"
"Asalto a la Casa de Moneda","25-04-22"
"Elvira, te daría mi vida pero la estoy usando","23-04-22"
"Crímenes de familia","22-04-22"
"Puerta 7: Episodio 8","21-04-22"
"Puerta 7: Episodio 7","21-04-22"
"Puerta 7: Episodio 6","21-04-22"
"Puerta 7: Episodio 5","21-04-22"
"Puerta 7: Episodio 4","20-04-22"
"Puerta 7: Episodio 3","20-04-22"
"Puerta 7: Episodio 2","20-04-22"
"Puerta 7: Episodio 1","20-04-22"
"Ultraman: Temporada 1: Un poder que no pertenece a la Tierra","19-04-22"
"Bridgerton: Temporada 2: El vizconde que me amó","19-04-22"
"Detrás de sus ojos: Miniserie: Sueños lúcidos","19-04-22"
"A la mala","19-04-22"
"Detrás de sus ojos: Miniserie: Encuentros fortuitos","19-04-22"
"Vivir dos veces","19-04-22"
"Ajuste de cuentas","18-04-22"
"El olvido que seremos","18-04-22"
"Anatomía de un escándalo: Miniserie: Episodio 1","18-04-22"
"Ahí te encargo","16-04-22"
"El plan perfecto","16-04-22"
"Seven Seconds: Miniserie: Cuestión de vida o muerte","16-04-22"
"Los herederos de la tierra: Destino","16-04-22"
"Casi feliz: Season 2: Mamá","16-04-22"
"Casi feliz: Season 2: Un río nos separa","16-04-22"
"Casi feliz: Season 2: Línea de 3","16-04-22"
"Casi feliz: Season 2: Happy Happy","15-04-22"
"Casi feliz: Season 2: Beso","15-04-22"
"Casi feliz: Season 2: Actuar para vivir","15-04-22"
"Casi feliz: Season 2: Dios mío","14-04-22"
"Casi feliz: Season 2: Permiso para volver","14-04-22"
"Bridgerton: Temporada 2: Armonía","14-04-22"
"Casi feliz: Temporada 1: Episodio 10","13-04-22"
"Casi feliz: Temporada 1: Episodio 9","13-04-22"
"Casi feliz: Temporada 1: Episodio 8","13-04-22"
"Élite: Temporada 5: Tu lado del mundo y el mío","13-04-22"
"Casi feliz: Temporada 1: Episodio 7","13-04-22"
"Casi feliz: Temporada 1: Episodio 6","13-04-22"
"Élite: Temporada 5: Tóxicos","12-04-22"
"Élite: Temporada 5: No puedes comprar mi amor","12-04-22"
"Casi feliz: Temporada 1: Episodio 5","12-04-22"
"Casi feliz: Temporada 1: Episodio 4","12-04-22"
"Casi feliz: Temporada 1: Episodio 3","12-04-22"
"Casi feliz: Temporada 1: Episodio 2","12-04-22"
"Élite: Temporada 5: Por favor, di la verdad","12-04-22"
"Élite: Temporada 5: El cuerpo","12-04-22"
"Mis huellas a casa","12-04-22"
"Seven Seconds: Miniserie: El suspiro de Brenton","11-04-22"
"Élite: Temporada 5: Átame","10-04-22"
"Lavaperros","10-04-22"
"Élite: Temporada 5: Todo vale","09-04-22"
"Élite: Temporada 5: Yo lo maté","09-04-22"
"Seven Seconds: Miniserie: Piloto","09-04-22"
"Bridgerton: Temporada 2: La decisión","09-04-22"
"La corazonada","09-04-22"
"El poder del perro","08-04-22"
"Furioza","08-04-22"
"Bridgerton: Temporada 2: Un destino inconcebible","07-04-22"
"Bridgerton: Temporada 2: Victoria","07-04-22"
"Bridgerton: Temporada 2: Obsesiones","07-04-22"
"Diomedes: el ídolo, el misterio y la tragedia","06-04-22"
"Bridgerton: Temporada 2: La carrera ya va a empezar","06-04-22"
"La masacre de Texas","05-04-22"
"Bridgerton: Temporada 2: Libertino, con todas las letras","04-04-22"
"Mi obra maestra","03-04-22"
"Crazy About Her","02-04-22"
"Perdida: Un hombre previsor","02-04-22"
"For Life: Cadena perpetua: Enterrado","02-04-22"
"Bridgerton: Temporada 1: Después de la tormenta","31-03-22"
"Bridgerton: Temporada 1: Un abismo entre los dos","30-03-22"
"Los principios del placer: Miniserie: Nuestros cuerpos","30-03-22"
"800 metros: Miniserie: Un grupo de amigos","30-03-22"
"Bridgerton: Temporada 1: Frufrú","30-03-22"
"Bridgerton: Temporada 1: El duque y yo","29-03-22"
"Bridgerton: Temporada 1: Un asunto de honor","29-03-22"
"Bridgerton: Temporada 1: El arte del desmayo","28-03-22"
"Bridgerton: Temporada 1: Sorprende y encanta","28-03-22"
"Bridgerton: Temporada 1: Diamante de primera","28-03-22"
"3 tonelada$: Asalto al Banco Central do Brasil: El delito","28-03-22"
"Perfectos desconocidos","25-03-22"
"The Sinner: Temporada 4: Percy: Parte VI","24-03-22"
"El proyecto Adam","23-03-22"
"Todos queremos a alguien","23-03-22"
"Frutos del viento","23-03-22"
"Dinero sucio y amor: Episodio 1","21-03-22"
"La venganza de Analía: Episodio 2","19-03-22"
"Toy Boy: Temporada 2: La persona a la que más quieres","18-03-22"
"La venganza de Analía: Episodio 1","18-03-22"
"Fin de semana en Croacia","17-03-22"
"Ozark: Temporada 4: El principio del fin","17-03-22"
"Hombre en llamas","17-03-22"
"Ozark: Temporada 3: Rosa intenso","16-03-22"
"Riesgo bajo cero","16-03-22"
"Ozark: Temporada 3: Mejores amigos por siempre","15-03-22"
"Fidelidad: Episodio 1","15-03-22"
"El cartel: Episodio 2","14-03-22"
"El cartel: Episodio 1","14-03-22"
"Rambo III","14-03-22"
"Ozark: Temporada 3: En caso de emergencia","13-03-22"
"Ozark: Temporada 3: Su casa es mi casa","12-03-22"
"La lista de Schindler","12-03-22"
"Ozark: Temporada 3: Vino desde Michoacán","09-03-22"
"Ozark: Temporada 3: Batalla final","09-03-22"
"Ozark: Temporada 3: Kevin Cronin estuvo aquí","09-03-22"
"Ozark: Temporada 3: Unión civil","08-03-22"
"Ozark: Temporada 3: Tiempos de guerra","08-03-22"
"Ozark: Temporada 2: La costa dorada","08-03-22"
"Ozark: Temporada 2: El tejón","08-03-22"
